pred1,pred2,p_val,code,type,q_val,gene
MPC (-0.009),MVP (0.030),0.618,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),MVP (0.030),1,30740,PCC,0.68255207585131,gigyf1
MetaLR (0.007),MVP (0.030),0.64,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),MVP (0.030),0.59,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),MVP (0.030),0.129,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),MVP (0.030),0.591,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),MVP (0.030),0.252,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),MVP (0.030),0.482,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),MVP (0.030),0.123,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),MVP (0.030),0.573,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),MVP (0.030),0.617,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),MVP (0.030),0.635,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),MVP (0.030),0.19,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),MetaLR (0.007),0.398,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),MetaLR (0.007),0.537,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),MetaLR (0.007),0.505,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),MetaLR (0.007),0.4,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),MetaLR (0.007),0.599,30740,PCC,0.572808408753648,gigyf1
LRT (0.012),MetaLR (0.007),0.642,30740,PCC,0.572808408753648,gigyf1
M-CAP (0.051),MetaLR (0.007),0.248,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),MetaLR (0.007),0.555,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),MetaLR (0.007),0.36,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),MetaLR (0.007),1,30740,PCC,0.68255207585131,gigyf1
MetaSVM (0.017),MetaLR (0.007),0.373,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),MetaLR (0.007),0.158,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),MetaLR (0.007),0.504,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),MetaLR (0.007),0.223,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),MetaLR (0.007),0.369,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),MetaLR (0.007),0.145,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),MetaLR (0.007),0.407,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),MetaLR (0.007),0.525,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),MetaLR (0.007),0.581,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),MetaLR (0.007),0.194,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),MetaSVM (0.017),0.428,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),MetaSVM (0.017),0.582,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),MetaSVM (0.017),0.544,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),MetaSVM (0.017),0.454,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),MetaSVM (0.017),0.634,30740,PCC,0.572808408753648,gigyf1
LRT (0.012),MetaSVM (0.017),0.67,30740,PCC,0.575836168923875,gigyf1
M-CAP (0.051),MetaSVM (0.017),0.241,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),MetaSVM (0.017),0.572,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),MetaSVM (0.017),0.41,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),MetaSVM (0.017),0.627,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),MetaSVM (0.017),1,30740,PCC,0.68255207585131,gigyf1
MutPred (0.077),MetaSVM (0.017),0.133,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),MetaSVM (0.017),0.534,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),MetaSVM (0.017),0.225,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),MetaSVM (0.017),0.422,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),MetaSVM (0.017),0.138,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),MetaSVM (0.017),0.48,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),MetaSVM (0.017),0.569,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),MetaSVM (0.017),0.598,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),MetaSVM (0.017),0.176,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),MutPred (0.077),0.821,30740,PCC,0.629046122664837,gigyf1
DANN (0.023),MutPred (0.077),0.89,30740,PCC,0.655544619612589,gigyf1
Eigen (0.016),MutPred (0.077),0.851,30740,PCC,0.639705741162833,gigyf1
FATHMM (-0.019),MutPred (0.077),0.738,30740,PCC,0.597433816980441,gigyf1
GenoCanyon (0.022),MutPred (0.077),0.899,30740,PCC,0.659209650338758,gigyf1
LRT (0.012),MutPred (0.077),0.909,30740,PCC,0.66180249274543,gigyf1
M-CAP (0.051),MutPred (0.077),0.748,30740,PCC,0.598299553988414,gigyf1
MPC (-0.009),MutPred (0.077),0.851,30740,PCC,0.639705741162833,gigyf1
MVP (0.030),MutPred (0.077),0.871,30740,PCC,0.645030225750261,gigyf1
MetaLR (0.007),MutPred (0.077),0.842,30740,PCC,0.637974669232344,gigyf1
MetaSVM (0.017),MutPred (0.077),0.867,30740,PCC,0.643814306179241,gigyf1
MutPred (0.077),MutPred (0.077),1,30740,PCC,0.68255207585131,gigyf1
MutationTaster (0.019),MutPred (0.077),0.847,30740,PCC,0.639705741162833,gigyf1
PROVEAN (0.055),MutPred (0.077),0.766,30740,PCC,0.603271027040888,gigyf1
PolyPhen-2 (0.031),MutPred (0.077),0.854,30740,PCC,0.639705741162833,gigyf1
PrimateAI (0.071),MutPred (0.077),0.58,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),MutPred (0.077),0.844,30740,PCC,0.638309088109147,gigyf1
SIFT (0.024),MutPred (0.077),0.898,30740,PCC,0.659066413026318,gigyf1
SiPhy (-0.004),MutPred (0.077),0.84,30740,PCC,0.637639010619203,gigyf1
VARITY (0.058),MutPred (0.077),0.754,30740,PCC,0.600964218388034,gigyf1
CADD (0.022),MutationTaster (0.019),0.414,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),MutationTaster (0.019),0.518,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),MutationTaster (0.019),0.485,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),MutationTaster (0.019),0.4,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),MutationTaster (0.019),0.593,30740,PCC,0.572808408753648,gigyf1
